日期,外資買賣超,投信買賣超,自營商買賣超,單日合計買賣超,外資估計持股,投信估計持股,自營商估計持股,單日合計估計持股,外資持股比重,三大法人持股比重,
107/03/31,0,0,1,1,8210,0,20,8230,4.93%,4.94%,
107/03/30,15,0,0,15,8210,0,19,8229,4.93%,4.94%,
107/03/29,0,0,0,0,8195,0,19,8214,4.92%,4.93%,
107/03/28,0,0,0,0,8195,0,19,8214,4.92%,4.93%,
107/03/27,0,0,0,0,8195,0,19,8214,4.92%,4.93%,
107/03/26,-2,0,0,-2,8195,0,19,8214,4.92%,4.93%,
107/03/23,0,0,0,0,8197,0,19,8216,4.92%,4.93%,
107/03/22,1,0,0,1,8197,0,19,8216,4.92%,4.93%,
107/03/21,0,0,0,0,8196,0,19,8215,4.92%,4.93%,
107/03/20,0,0,0,0,8196,0,19,8215,4.92%,4.93%,
107/03/19,0,0,0,0,8196,0,19,8215,4.92%,4.93%,
107/03/16,2,0,0,2,8196,0,19,8215,4.92%,4.93%,
107/03/15,0,0,0,0,8194,0,19,8213,4.92%,4.93%,
107/03/14,0,0,0,0,8194,0,19,8213,4.92%,4.93%,
107/03/13,14,0,0,14,8194,0,19,8213,4.92%,4.93%,
107/03/12,-60,0,0,-60,8180,0,19,8199,4.91%,4.92%,
107/03/09,-288,0,0,-288,8240,0,19,8259,4.95%,4.96%,
107/03/08,350,0,0,350,8528,0,19,8547,5.12%,5.13%,
107/03/07,0,0,0,0,8178,0,19,8197,4.91%,4.92%,
107/03/06,0,0,0,0,8178,0,19,8197,4.91%,4.92%,
107/03/05,-3,0,0,-3,8178,0,19,8197,4.91%,4.92%,
107/03/02,-3,0,0,-3,8181,0,19,8200,4.91%,4.92%,
107/03/01,0,0,0,0,8184,0,19,8203,4.92%,4.93%,
107/02/27,0,0,0,0,8184,0,19,8203,4.92%,4.93%,
107/02/26,-6,0,0,-6,8184,0,19,8203,4.92%,4.93%,
107/02/23,6,0,0,6,8190,0,19,8209,4.92%,4.93%,
107/02/22,0,0,0,0,8184,0,19,8203,4.92%,4.93%,
107/02/21,0,0,0,0,8184,0,19,8203,4.92%,4.93%,
107/02/12,-3,0,0,-3,8184,0,19,8203,4.92%,4.93%,
107/02/09,0,0,0,0,8187,0,19,8206,4.92%,4.93%,
107/02/08,0,0,0,0,8187,0,19,8206,4.92%,4.93%,
107/02/07,-15,0,0,-15,8187,0,19,8206,4.92%,4.93%,
107/02/06,-7,0,0,-7,8202,0,19,8221,4.93%,4.94%,
107/02/05,1,0,0,1,8209,0,19,8228,4.93%,4.94%,
107/02/02,0,0,0,0,8208,0,19,8227,4.93%,4.94%,
107/02/01,-1,0,0,-1,8208,0,19,8227,4.93%,4.94%,
107/01/31,0,0,0,0,8209,0,19,8228,4.93%,4.94%,
107/01/30,0,0,0,0,8209,0,19,8228,4.93%,4.94%,
107/01/29,-2,0,0,-2,8209,0,19,8228,4.93%,4.94%,
107/01/26,-1,0,0,-1,8211,0,19,8230,4.93%,4.94%,
107/01/25,6,0,0,6,8212,0,19,8231,4.93%,4.94%,
107/01/24,3,0,0,3,8206,0,19,8225,4.93%,4.94%,
107/01/23,7,0,0,7,8203,0,19,8222,4.93%,4.94%,
107/01/22,1,0,0,1,8196,0,19,8215,4.92%,4.93%,
107/01/19,0,0,0,0,8195,0,19,8214,4.92%,4.93%,
107/01/18,-37,0,0,-37,8195,0,19,8214,4.92%,4.93%,
107/01/17,50,0,0,50,8232,0,19,8251,4.95%,4.96%,
107/01/16,9,0,0,9,8182,0,19,8201,4.91%,4.92%,
107/01/15,0,0,0,0,8173,0,19,8192,4.91%,4.92%,
107/01/12,1,0,0,1,8173,0,19,8192,4.91%,4.92%,
107/01/11,2,0,0,2,8172,0,19,8191,4.91%,4.92%,
107/01/10,0,0,0,0,8170,0,19,8189,4.91%,4.92%,
107/01/09,0,0,0,0,8170,0,19,8189,4.91%,4.92%,
107/01/08,-16,0,0,-16,8170,0,19,8189,4.91%,4.92%,
107/01/05,0,0,0,0,8186,0,19,8205,4.92%,4.93%,
107/01/04,0,0,0,0,8186,0,19,8205,4.92%,4.93%,
107/01/03,0,0,0,0,8186,0,19,8205,4.92%,4.93%,
107/01/02,0,0,0,0,8186,0,19,8205,4.92%,4.93%,
106/12/29,14,0,0,14,8186,0,19,8205,4.92%,4.93%,
106/12/28,-2,0,0,-2,8172,0,19,8191,4.91%,4.92%,
106/12/27,-380,0,0,-380,8174,0,19,8193,4.91%,4.92%,
106/12/26,0,0,0,0,8554,0,19,8573,5.14%,5.15%,
106/12/25,2,0,0,2,8554,0,19,8573,5.14%,5.15%,
106/12/22,0,0,0,0,8552,0,19,8571,5.14%,5.15%,
106/12/21,0,0,0,0,8552,0,19,8571,5.14%,5.15%,
106/12/20,0,0,0,0,8552,0,19,8571,5.14%,5.15%,
106/12/19,3,0,0,3,8552,0,19,8571,5.14%,5.15%,
106/12/18,0,0,-4,-4,8549,0,19,8568,5.14%,5.15%,
106/12/15,-1,0,0,-1,8549,0,23,8572,5.14%,5.15%,
106/12/14,0,0,0,0,8550,0,23,8573,5.14%,5.15%,
106/12/13,0,0,0,0,8550,0,23,8573,5.14%,5.15%,
106/12/12,0,0,0,0,8550,0,23,8573,5.14%,5.15%,
106/12/11,0,0,0,0,8550,0,23,8573,5.14%,5.15%,
106/12/08,0,0,0,0,8550,0,23,8573,5.14%,5.15%,
106/12/07,0,0,0,0,8550,0,23,8573,5.14%,5.15%,
106/12/06,2,0,0,2,8550,0,23,8573,5.14%,5.15%,
106/12/05,0,0,-1,-1,8548,0,23,8571,5.14%,5.15%,
106/12/04,0,0,0,0,8548,0,24,8572,5.14%,5.15%,
106/12/01,0,0,0,0,8548,0,24,8572,5.14%,5.15%,
106/11/30,-1,0,-7,-8,8548,0,24,8572,5.14%,5.15%,
106/11/29,1,0,-1,0,8549,0,31,8580,5.14%,5.16%,
106/11/28,0,0,0,0,8548,0,32,8580,5.14%,5.16%,
106/11/27,-1,0,0,-1,8548,0,32,8580,5.14%,5.16%,
106/11/24,1,0,5,6,8549,0,32,8581,5.14%,5.16%,
106/11/23,6,0,3,9,8548,0,27,8575,5.14%,5.16%,
106/11/22,9,0,0,9,8542,0,24,8566,5.13%,5.14%,
106/11/21,0,0,0,0,8533,0,24,8557,5.13%,5.14%,
106/11/20,0,0,0,0,8533,0,24,8557,5.13%,5.14%,
106/11/17,-1,0,0,-1,8533,0,24,8557,5.13%,5.14%,
106/11/16,0,0,0,0,8534,0,24,8558,5.13%,5.14%,
106/11/15,5,0,0,5,8534,0,24,8558,5.13%,5.14%,
106/11/14,0,0,0,0,8529,0,24,8553,5.12%,5.13%,
106/11/13,-8,0,0,-8,8529,0,24,8553,5.12%,5.13%,
106/11/10,-1,0,0,-1,8537,0,24,8561,5.13%,5.14%,
106/11/09,-26,0,5,-21,8538,0,24,8562,5.13%,5.14%,
106/11/08,17,0,0,17,8564,0,19,8583,5.14%,5.15%,
106/11/07,8,0,0,8,8547,0,19,8566,5.13%,5.14%,
106/11/06,7,0,0,7,8539,0,19,8558,5.13%,5.14%,
106/11/03,-1,0,0,-1,8532,0,19,8551,5.13%,5.14%,
106/11/02,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/11/01,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/31,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/30,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/27,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/26,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/25,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/24,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/23,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/20,0,0,0,0,8533,0,19,8552,5.13%,5.14%,
106/10/19,-1,0,0,-1,8533,0,19,8552,5.13%,5.14%,
106/10/18,0,0,0,0,8534,0,19,8553,5.13%,5.14%,
106/10/17,0,0,0,0,8534,0,19,8553,5.13%,5.14%,
106/10/16,0,0,0,0,8534,0,19,8553,5.13%,5.14%,
106/10/13,0,0,0,0,8534,0,19,8553,5.13%,5.14%,
106/10/12,0,0,0,0,8534,0,19,8553,5.13%,5.14%,
106/10/11,0,0,0,0,8534,0,19,8553,5.13%,5.14%,
106/10/06,0,0,0,0,8534,0,19,8553,5.13%,5.14%,
106/10/05,-5,0,0,-5,8534,0,19,8553,5.13%,5.14%,
106/10/03,0,0,0,0,8539,0,19,8558,5.13%,5.14%,
106/10/02,-4,0,0,-4,8539,0,19,8558,5.13%,5.14%,
106/09/30,0,0,0,0,8543,0,19,8562,5.13%,5.14%,
106/09/29,5,0,0,5,8543,0,19,8562,5.13%,5.14%,
106/09/28,-9,0,0,-9,8538,0,19,8557,5.13%,5.14%,
106/09/27,0,0,0,0,8547,0,19,8566,5.13%,5.14%,
106/09/26,0,0,0,0,8547,0,19,8566,5.13%,5.14%,
106/09/25,0,0,0,0,8547,0,19,8566,5.13%,5.14%,
106/09/22,-69,0,0,-69,8547,0,19,8566,5.13%,5.14%,
106/09/21,-3,0,0,-3,8616,0,19,8635,5.18%,5.19%,
106/09/20,5,0,0,5,8619,0,19,8638,5.18%,5.19%,
106/09/19,-25,0,0,-25,8614,0,19,8633,5.17%,5.18%,
106/09/18,6,0,0,6,8639,0,19,8658,5.19%,5.20%,
106/09/15,-1004,0,0,-1004,8633,0,19,8652,5.19%,5.20%,
106/09/14,0,0,0,0,9637,0,19,9656,5.79%,5.80%,
106/09/13,0,0,0,0,9637,0,19,9656,5.79%,5.80%,
106/09/12,0,0,0,0,9637,0,19,9656,5.79%,5.80%,
106/09/11,4,0,0,4,9637,0,19,9656,5.79%,5.80%,
